,16bit_input_data,16bit_output_data
380,000000000000000,"1111100101111101
"
381,000000000000000,"1111100101111110
"
382,000000000000000,"1111100101111111
"
383,000000000000000,"1111100110000000
"
384,000000000000000,"1111100110000001
"
385,000000000000000,"1111100110000010
"
386,000000000000000,"1111100110000011
"
387,000000000000000,"1111100110000100
"
388,000000000000000,"1111100110000101
"
389,000000000000000,"1111100110000110
"
390,000000000000000,"1111100110000111
"
391,000000000000000,"1111100110001000
"
392,000000000000000,"1111100110001001
"
393,000000000000000,"1111100110001010
"
394,000000000000000,"1111100110001011
"
395,000000000000000,"1111100110001100
"
396,000000000000000,"1111100110001101
"
397,000000000000000,"1111100110001110
"
398,000000000000000,"1111100110001111
"
399,000000000000000,"1111100110010000
"
400,000000000000000,"1111100110010001
"
401,000000000000000,"1111100110010010
"
402,000000000000000,"1111100110010011
"
403,000000000000000,"1111100110010100
"
404,000000000000000,"1111100110010101
"
405,000000000000000,"1111100110010110
"
406,000000000000000,"1111100110010111
"
407,000000000000000,"1111100110011000
"
408,000000000000000,"1111100110011001
"
409,000000000000000,"1111100110011010
"
410,000000000000000,"1111100110011011
"
411,000000000000000,"1111100110011100
"
412,000000000000000,"1111100110011101
"
413,000000000000000,"1111100110011110
"
414,000000000000000,"1111100110011111
"
415,000000000000000,"1111100110100000
"
416,000000000000000,"1111100110100001
"
417,000000000000000,"1111100110100010
"
418,000000000000000,"1111100110100011
"
419,000000000000000,"1111100110100100
"
420,000000000000000,"1111100110100101
"
421,000000000000000,"1111100110100110
"
422,000000000000000,"1111100110100111
"
423,000000000000000,"1111100110101000
"
424,000000000000000,"1111100110101001
"
425,000000000000000,"1111100110101010
"
426,000000000000000,"1111100110101011
"
427,000000000000000,"1111100110101100
"
428,000000000000000,"1111100110101101
"
429,000000000000000,"1111100110101110
"
430,000000000000000,"1111100110101111
"
431,000000000000000,"1111100110110000
"
432,000000000000000,"1111100110110001
"
433,000000000000000,"1111100110110010
"
434,000000000000000,"1111100110110011
"
435,000000000000000,"1111100110110100
"
436,000000000000000,"1111100110110101
"
437,000000000000000,"1111100110110110
"
438,000000000000000,"1111100110110111
"
439,000000000000000,"1111100110111000
"
440,000000000000000,"1111100110111001
"
441,000000000000000,"1111100110111010
"
442,000000000000000,"1111100110111011
"
443,000000000000000,"1111100110111100
"
444,000000000000000,"1111100110111101
"
445,000000000000000,"1111100110111110
"
446,000000000000000,"1111100110111111
"
447,000000000000000,"1111100111000000
"
448,000000000000000,"1111100111000001
"
449,000000000000000,"1111100111000010
"
450,000000000000000,"1111100111000011
"
451,000000000000000,"1111100111000100
"
452,000000000000000,"1111100111000101
"
453,000000000000000,"1111100111000110
"
454,000000000000000,"1111100111000111
"
455,000000000000000,"1111100111001000
"
456,000000000000000,"1111100111001001
"
457,000000000000000,"1111100111001010
"
458,000000000000000,"1111100111001011
"
459,000000000000000,"1111100111001100
"
460,000000000000000,"1111100111001101
"
461,000000000000000,"1111100111001110
"
462,000000000000000,"1111100111001111
"
463,000000000000000,"1111100111010000
"
464,000000000000000,"1111100111010001
"
465,000000000000000,"1111100111010010
"
466,000000000000000,"1111100111010011
"
467,000000000000000,"1111100111010100
"
468,000000000000000,"1111100111010101
"
469,000000000000000,"1111100111010110
"
470,000000000000000,"1111100111010111
"
471,000000000000000,"1111100111011000
"
472,000000000000000,"1111100111011001
"
473,000000000000000,"1111100111011010
"
474,000000000000000,"1111100111011011
"
475,000000000000000,"1111100111011100
"
476,000000000000000,"1111100111011101
"
477,000000000000000,"1111100111011110
"
478,000000000000000,"1111100111011111
"
479,000000000000000,"1111100111100000
"
480,000000000000000,"1111100111100001
"
481,000000000000000,"1111100111100010
"
482,000000000000000,"1111100111100011
"
483,000000000000000,"1111100111100100
"
484,000000000000000,"1111100111100101
"
485,000000000000000,"1111100111100110
"
486,000000000000000,"1111100111100111
"
487,000000000000000,"1111100111101000
"
488,000000000000000,"1111100111101001
"
489,000000000000000,"1111100111101010
"
490,000000000000000,"1111100111101011
"
491,000000000000000,"1111100111101100
"
492,000000000000000,"1111100111101101
"
493,000000000000000,"1111100111101110
"
494,000000000000000,"1111100111101111
"
495,000000000000000,"1111100111110000
"
496,000000000000000,"1111100111110001
"
497,000000000000000,"1111100111110010
"
498,000000000000000,"1111100111110011
"
499,000000000000000,"1111100111110100
"
500,000000000000000,"1111100111110101
"
501,000000000000000,"1111100111110110
"
502,000000000000000,"1111100111110111
"
503,000000000000000,"1111100111111000
"
504,000000000000000,"1111100111111001
"
505,000000000000000,"1111100111111010
"
506,000000000000000,"1111100111111011
"
507,000000000000000,"1111100111111100
"
508,000000000000000,"1111100111111101
"
509,000000000000000,"1111100111111110
"
510,000000000000000,"1111100111111111
"
511,000000000000000,"1111101000000000
"
512,000000000000000,"1111101000000001
"
513,000000000000000,"1111101000000010
"
514,000000000000000,"1111101000000011
"
515,000000000000000,"1111101000000100
"
516,000000000000000,"1111101000000101
"
517,000000000000000,"1111101000000110
"
518,000000000000000,"1111101000000111
"
519,000000000000000,"1111101000001000
"
520,000000000000000,"1111101000001001
"
521,000000000000000,"1111101000001010
"
522,000000000000000,"1111101000001011
"
523,000000000000000,"1111101000001100
"
524,000000000000000,"1111101000001101
"
525,000000000000000,"1111101000001110
"
526,000000000000000,"1111101000001111
"
527,000000000000000,"1111101000010000
"
528,000000000000000,"1111101000010001
"
529,000000000000000,"1111101000010010
"
530,000000000000000,"1111101000010011
"
531,000000000000000,"1111101000010100
"
532,000000000000000,"1111101000010101
"
533,000000000000000,"1111101000010110
"
534,000000000000000,"1111101000010111
"
535,000000000000000,"1111101000011000
"
536,000000000000000,"1111101000011001
"
537,000000000000000,"1111101000011010
"
538,000000000000000,"1111101000011011
"
539,000000000000000,"1111101000011100
"
540,000000000000000,"1111101000011101
"
541,000000000000000,"1111101000011110
"
542,000000000000000,"1111101000011111
"
543,000000000000000,"1111101000100000
"
544,000000000000000,"1111101000100001
"
545,000000000000000,"1111101000100010
"
546,000000000000000,"1111101000100011
"
547,000000000000000,"1111101000100100
"
548,000000000000000,"1111101000100101
"
549,000000000000000,"1111101000100110
"
