,Time (Seconds),Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Position
40,11.34,0.000423,-0.284081,1.4e-05,33.641685,6.658505,-6.789304,-0.022758,0.033878,-33.946491,33.937641,0.129186,0.47866,-3.365398,-1.725524,16.675388,-30.515728,40.827198,-24.326239,-23.992666,-4.546392,-6.462425,-6.723939,Back
41,11.355,-0.000396,-0.287087,-0.787316,33.060917,6.632797,-6.789277,-0.022826,0.028782,-33.946507,33.935974,0.348435,0.305378,-3.687988,-2.074287,16.883682,-31.00992,40.871086,-25.486988,-23.816666,-4.677286,-6.62277,-6.926686,Back
42,11.37,0.000287,-0.277237,-1.446047,32.321781,6.557733,-6.789277,-0.033468,0.024206,-33.946507,33.934387,0.579746,0.276131,-3.893741,-2.349448,16.898449,-31.406031,40.907711,-26.780722,-23.718227,-4.524304,-6.887795,-7.043838,Back
43,11.385,-0.001106,-0.267006,-3.048163,30.942396,6.555479,-6.789208,-0.038714,0.020641,-33.946507,33.921001,0.978821,0.239357,-4.39397,-2.987238,16.945044,-32.374168,40.944416,-29.419113,-23.667671,-4.123495,-7.179335,-7.363846,Back
44,11.400001,0.000943,-0.271527,-3.723601,29.99744,6.576871,-6.789277,-0.042743,0.02228,-33.946518,33.935631,1.268052,0.036432,-4.640103,-3.275158,16.953281,-32.79081,40.970562,-31.175621,-23.607237,-3.923438,-7.420577,-7.514684,Back
45,11.415,-0.000232,-0.267907,-4.716205,29.085241,6.607798,-6.789263,-0.041773,0.024944,-33.946507,33.930264,1.547174,-0.149253,-4.926534,-3.665599,16.964237,-33.389191,40.999878,-33.080944,-23.602142,-3.663181,-7.584352,-7.703566,Back
46,11.43,0.000423,-0.270011,-5.543054,28.183041,6.621951,-6.789277,-0.039397,0.02728,-33.946518,33.933365,1.846678,-0.376207,-5.212787,-4.005168,16.967188,-33.892097,41.008743,-34.810524,-23.566462,-3.399713,-7.824391,-7.854048,Back
47,11.445001,1.4e-05,-0.261323,-6.420446,27.352066,6.654804,-6.789277,-0.035995,0.030367,-33.946518,33.931137,2.120774,-0.460164,-5.465026,-4.352019,16.969879,-34.420738,41.034481,-36.556892,-23.571556,-3.162965,-7.992155,-8.057383,Back
48,11.46,0.000109,-0.253632,-7.267499,26.491066,6.650255,-6.789277,-0.034206,0.032484,-33.946507,33.930824,2.366087,-0.524545,-5.747413,-4.6926,16.970808,-34.934204,41.046104,-38.262611,-23.561899,-2.88835,-8.1709,-8.209833,Back
49,11.475,-0.001093,-0.223375,-8.909504,25.070496,6.609902,-6.789208,-0.037061,0.030463,-33.946491,33.918118,2.691873,-0.356522,-6.234979,-5.33614,16.971504,-35.925716,41.056293,-41.030777,-23.543772,-2.403516,-8.404575,-8.566929,Back
50,11.490001,0.000587,-0.217432,-9.629897,24.116402,6.589958,-6.789263,-0.042456,0.030695,-33.946507,33.932407,2.764902,-0.382969,-6.452179,-5.635917,16.971764,-36.361263,41.065735,-42.929993,-23.511629,-2.19958,-8.602856,-8.680857,Back
51,11.505,-0.000464,-0.2147,-10.636025,23.21513,6.579562,-6.789263,-0.04359,0.030531,-33.946476,33.926697,2.760025,-0.372314,-6.767065,-6.029554,16.971954,-36.963264,41.076797,-44.88295,-23.502913,-1.880706,-8.779716,-8.880243,Back
52,11.52,0.000191,-0.211613,-11.474035,22.340853,6.57694,-6.789263,-0.045107,0.029124,-33.946491,33.928745,2.669552,-0.280243,-7.002638,-6.366064,16.972036,-37.468643,41.080692,-46.65007,-23.505495,-1.650119,-8.924462,-9.031122,Back
53,11.535001,-8.2e-05,-0.211367,-12.355566,21.495344,6.566421,-6.789263,-0.047456,0.02713,-33.946491,33.927448,2.530066,-0.171752,-7.284301,-6.71398,16.972078,-37.997162,41.082794,-48.410496,-23.488405,-1.364221,-9.101432,-9.209513,Back
54,11.55,-0.00082,-0.196573,-13.99279,20.053244,6.54395,-6.789222,-0.051964,0.022307,-33.946491,33.915333,2.486858,0.011283,-7.767906,-7.357712,16.972105,-38.979836,41.062946,-51.198223,-23.541531,-0.879496,-9.397521,-9.549834,Back
55,11.565001,0.000642,-0.200056,-14.720055,19.100502,6.557938,-6.789263,-0.053822,0.020504,-33.946507,33.930016,2.211602,0.170536,-7.981582,-7.660167,16.972118,-39.422993,41.071091,-53.101154,-23.505304,-0.673129,-9.605828,-9.682162,Back
56,11.58,-0.00026,-0.206313,-15.725924,18.184244,6.569809,-6.789263,-0.052483,0.020258,-33.946491,33.924648,1.892591,0.282824,-8.293954,-8.054049,16.972118,-40.022491,41.063015,-55.061146,-23.534729,-0.354009,-9.835336,-9.895728,Back
57,11.595,0.000396,-0.215752,-16.56538,17.30617,6.57336,-6.789263,-0.051718,0.01978,-33.946507,33.92667,1.552557,0.371699,-8.528488,-8.392445,16.972118,-40.528648,41.063999,-56.830303,-23.531244,-0.122875,-10.02307,-10.057167,Back
58,11.610001,0.001079,-0.245518,-16.659664,17.039518,6.599274,-6.78929,-0.046664,0.021775,-33.946491,33.938362,1.084115,0.448375,-8.558432,-8.434888,16.972132,-40.574738,41.058029,-57.022079,-23.523855,-0.088806,-10.121357,-10.060842,Back
59,11.625,0.000724,-0.269369,-16.851225,16.928228,6.627524,-6.78929,-0.040599,0.025244,-33.946507,33.932529,0.666845,0.55427,-8.607582,-8.507711,16.972118,-40.694839,41.051445,-57.42207,-23.55694,-0.035189,-10.157748,-10.124554,Back
60,11.64,0.00097,-0.28277,-16.892315,16.868519,6.605681,-6.78929,-0.039151,0.026569,-33.946476,33.934059,0.317153,0.703632,-8.616283,-8.528461,16.972132,-40.72253,41.040749,-57.49622,-23.557022,-0.022021,-10.189713,-10.124963,Back
61,11.655001,0.000765,-0.292428,-16.938118,16.849955,6.607676,-6.78929,-0.037949,0.027772,-33.946491,33.931396,0.065665,0.833802,-8.622909,-8.540947,16.972118,-40.74802,41.022362,-57.599285,-23.602362,-0.00903,-10.240666,-10.134881,Back
62,11.67,0.000738,-0.29643,-16.951969,16.846634,6.601487,-6.78929,-0.038112,0.027963,-33.946476,33.932339,-0.132519,0.958139,-8.62086,-8.547531,16.972132,-40.762543,41.003742,-57.615845,-23.636375,-0.004781,-10.238877,-10.153035,Back
63,11.685,0.000587,-0.294873,-16.963348,16.85218,6.597785,-6.78929,-0.039246,0.027362,-33.946476,33.93066,-0.287783,1.062791,-8.61795,-8.545591,16.972118,-40.764114,40.983677,-57.65099,-23.651346,-0.001503,-10.246773,-10.146874,Back
64,11.700001,-0.001229,-0.257102,-18.290264,15.847624,6.614451,-6.789249,-0.040189,0.026993,-33.946491,33.905987,-0.260285,1.284704,-8.616462,-8.935581,17.224072,-39.757233,40.944729,-59.210827,-23.633753,2.514671,-10.157229,-10.573338,Back
65,11.715,-0.001817,-0.21761,-20.636475,13.836488,6.613576,-6.789154,-0.044519,0.024903,-33.946476,33.901085,-0.150838,1.560206,-8.615819,-9.640826,17.718304,-37.83366,40.897549,-61.740921,-23.501123,6.57086,-10.012142,-11.289701,Back
66,11.73,9.6e-05,-0.21679,-21.844393,12.161002,6.637605,-6.789236,-0.043959,0.022253,-33.946476,33.923817,-0.25258,1.597513,-8.614808,-9.975396,17.932743,-36.899483,40.915184,-63.467319,-23.340395,10.388663,-9.893543,-11.64498,Back
67,11.745,-0.001202,-0.209591,-23.413916,10.650505,6.640078,-6.789222,-0.044792,0.020122,-33.946476,33.918789,-0.489766,1.842184,-8.622335,-10.460995,18.277723,-35.614628,40.915936,-65.333672,-23.206797,14.054003,-9.774451,-12.149623,Back
68,11.76,-0.000273,-0.220069,-24.816729,9.169611,6.660527,-6.789236,-0.041077,0.020135,-33.946476,33.922012,-0.776907,1.93058,-8.624412,-10.857037,18.536354,-34.518642,40.928787,-67.057907,-23.020798,17.621792,-9.612931,-12.536157,Back
69,11.775001,-0.000505,-0.234713,-26.271067,7.708401,6.65397,-6.789236,-0.039274,0.019862,-33.946465,33.922256,-1.089675,2.034331,-8.635395,-11.307064,18.82239,-33.368057,40.936943,-68.791618,-22.880491,21.127224,-9.502077,-12.988862,Back
70,11.79,-0.001421,-0.228169,-28.799643,5.520077,6.649462,-6.789167,-0.041186,0.020928,-33.946476,33.904896,-1.270579,2.26235,-8.642812,-12.104529,19.376167,-31.205509,40.932407,-71.542938,-22.580427,25.816175,-9.183053,-13.804263,Back
71,11.805,0.000751,-0.260271,-30.18676,3.746195,6.672139,-6.789236,-0.035449,0.019876,-33.946465,33.930222,-1.528528,2.111089,-8.65497,-12.46448,19.60442,-30.206743,40.945415,-73.485199,-22.464138,30.038721,-9.02656,-14.151947,Back
72,11.820001,-0.00041,-0.277606,-31.815077,2.167042,6.649681,-6.789236,-0.034124,0.020204,-33.946476,33.923229,-1.729568,1.997011,-8.669095,-12.970297,19.963755,-28.862631,40.955357,-75.421173,-22.249628,33.962925,-8.852568,-14.673077,Back
73,11.835,0.000342,-0.293862,-33.262981,0.66843,6.606665,-6.789236,-0.037361,0.019452,-33.946491,33.926849,-1.828824,1.878493,-8.686826,-13.373866,20.226923,-27.74177,40.965195,-77.209023,-22.090485,37.696308,-8.68755,-15.083312,Back
74,11.85,0.001202,-0.317044,-33.41214,0.300788,6.578551,-6.789263,-0.039601,0.014302,-33.946507,33.942776,-2.079574,1.963857,-8.693656,-13.446935,20.26457,-27.600426,40.964989,-77.383064,-21.99321,38.945343,-8.556437,-15.064433,Back
75,11.865001,0.00015,-0.312549,-33.741039,0.218511,6.519771,-6.78929,-0.043481,0.014138,-33.946491,33.916355,-2.391522,2.148873,-8.68714,-13.554401,20.32551,-23.726547,40.932476,-73.220993,-21.955971,39.09972,-8.462728,-14.937652,Back
76,11.88,0.000587,-0.311101,-33.808849,0.128189,6.545589,-6.78929,-0.041145,0.016242,-33.946507,33.923569,-2.661547,2.3505,-8.690515,-13.57119,20.340235,-22.307999,40.935005,-71.623642,-21.912462,39.600018,-8.388701,-15.022182,Back
77,11.895,1.4e-05,-0.288029,-33.887234,0.111455,6.476358,-6.78929,-0.047347,0.014302,-33.946491,33.913967,-2.729084,2.468171,-8.671895,-13.613755,20.354988,-17.900177,40.903271,-66.462288,-21.950424,38.900276,-8.379181,-14.806566,Back
78,11.910001,-0.000355,-0.26243,-33.910358,0.079572,6.475047,-6.78929,-0.05083,0.009576,-33.946476,33.918434,-2.938184,2.79602,-8.656418,-13.586654,20.359756,-13.8512,40.901466,-61.621517,-21.929621,38.736938,-8.403769,-14.793999,Back
79,11.925,-0.000205,-0.249275,-33.929783,0.056513,6.443751,-6.78929,-0.057196,0.002923,-33.946476,33.92025,-2.89126,2.818682,-8.642771,-13.617594,20.363459,-10.047605,40.916851,-57.009064,-21.922108,38.301434,-8.40493,-14.811183,Back
80,11.940001,-0.000423,-0.232609,-33.93689,0.048863,6.42408,-6.78929,-0.065365,-0.005,-33.946476,33.922012,-3.086494,3.128486,-8.632335,-13.583785,20.364893,-6.391186,40.949306,-52.514198,-21.868231,37.912235,-8.395368,-14.80281,Back
81,11.955,1.4e-05,-0.221407,-33.94186,0.130552,6.365928,-6.78929,-0.076908,-0.012035,-33.946476,33.920563,-3.304855,3.104608,-8.618456,-13.60463,20.365849,-2.805978,40.97966,-48.176018,-21.831743,37.509296,-8.448111,-14.84517,Back
82,11.97,0.00082,-0.264574,-33.943977,-0.018059,6.534429,-6.789304,-0.059382,-0.002882,-33.946491,33.927094,-3.549649,2.884129,-8.155519,-12.852709,20.933165,-2.047704,41.039726,-46.206314,-21.349369,37.295307,-7.9921,-14.239647,Back
83,11.985001,0.000792,-0.306867,-33.94529,-0.094065,6.628453,-6.78929,-0.043112,0.009658,-33.946491,33.934116,-3.614263,2.736406,-7.769559,-12.244562,21.376184,-1.496986,41.057114,-44.893974,-20.99633,37.04744,-7.604023,-13.607458,Back
84,12.0,0.001038,-0.326387,-33.945824,-0.013251,6.612006,-6.78929,-0.042019,0.01978,-33.946465,33.926601,-3.644808,2.758222,-7.271543,-11.456454,21.968157,-1.52178,41.080612,-44.184414,-20.499584,36.836754,-7.000452,-12.830333,Back
85,12.015,0.000628,-0.316812,-33.94619,0.008961,6.700498,-6.78929,-0.029288,0.029684,-33.946507,33.925304,-3.089773,2.630811,-6.312994,-9.974986,23.076204,-2.060764,41.018837,-43.534149,-19.648077,36.465302,-6.260387,-11.14288,Back
86,12.030001,0.000451,-0.316689,-33.946342,0.047661,6.665732,-6.789304,-0.037211,0.028523,-33.946476,33.931343,-2.63853,2.424758,-6.309128,-9.99131,23.024622,-1.942847,41.049122,-43.386303,-19.567549,36.473701,-5.815127,-11.277899,Back
87,12.045,0.000546,-0.309886,-33.946449,0.022021,6.670568,-6.78929,-0.035886,0.024862,-33.946491,33.926014,-2.163831,2.235343,-5.25064,-8.263778,24.392162,-2.736748,41.038685,-42.877415,-18.592567,36.016422,-4.556023,-9.247762,Back
88,12.06,0.000956,-0.340785,-33.946476,-0.006188,6.658533,-6.789304,-0.031911,0.030954,-33.946491,33.924309,-2.250793,2.086541,-4.882397,-7.714685,24.756458,-3.007305,41.062428,-42.677029,-18.143085,35.882439,-3.808937,-8.650229,Back
89,12.075001,0.00041,-0.32759,-33.946491,0.031897,6.741001,-6.78929,-0.022799,0.037703,-33.946491,33.925056,-1.734253,1.925799,-4.311325,-6.743828,25.512793,-3.465092,41.042034,-42.428658,-17.61887,35.631527,-3.03341,-7.58136,Back
90,12.09,0.000396,-0.320104,-33.946491,0.04803,6.763253,-6.789304,-0.015969,0.041514,-33.946491,33.922218,-1.393044,1.828838,-3.796588,-5.993204,26.054728,-3.857349,41.019493,-42.207973,-17.065201,35.437809,-2.241436,-6.695416,Back
91,12.105,0.00015,-0.294163,-33.946507,0.126154,6.805778,-6.78929,-0.005765,0.041814,-33.946491,33.921001,-0.906052,1.752435,-3.275226,-5.156888,26.698254,-4.238515,41.027786,-41.986183,-16.598057,35.224979,-1.514007,-5.72807,Back
92,12.12,6.8e-05,-0.275202,-33.946507,0.149281,6.802336,-6.789304,0.001899,0.04303,-33.946476,33.912544,-0.667979,1.732423,-2.32068,-3.651706,27.297876,-4.633873,41.012417,-41.797356,-16.009718,35.022438,-0.724068,-4.734591,Back
93,12.135,8.2e-05,-0.271473,-33.946518,0.06016,6.852551,-6.78929,0.009166,0.046022,-33.946491,33.928242,-0.643554,1.634601,-1.857306,-2.953552,28.450089,-5.405207,40.997147,-41.44582,-15.20773,34.659481,0.553163,-3.062957,Back
94,12.150001,2.7e-05,-0.251843,-33.946518,0.184757,6.60717,-6.789304,-0.008688,0.036091,-33.946476,33.913708,-0.734819,1.547612,-1.718038,-2.741679,28.404926,-5.358666,40.935402,-41.46825,-15.136902,34.670517,0.759503,-2.802427,Back
95,12.165,-0.000219,-0.234057,-33.946518,0.065379,6.765698,-6.78929,0.002295,0.036938,-33.946476,33.928146,-0.681448,1.391118,-0.718413,-1.129768,29.751211,-6.227247,40.877892,-41.045597,-14.272759,34.215424,2.208596,-0.966226,Back
96,12.18,1.4e-05,-0.224099,-33.946491,0.150715,6.571953,-6.789304,-0.012007,0.028045,-33.946491,33.920399,-0.907541,1.239843,-0.315609,-0.515748,30.154671,-6.493037,40.857456,-40.911003,-13.818703,34.08218,2.801033,-0.139882,Back
97,12.195001,0.00041,-0.223866,-33.946507,0.133011,6.426484,-6.78929,-0.034342,0.016939,-33.946476,33.920658,-1.006223,0.959519,-0.178377,-0.29419,30.335165,-6.592294,40.875881,-40.864597,-13.647729,34.02079,3.104389,0.254151,Back
98,12.21,0.000464,-0.234071,-33.946507,0.051882,6.382784,-6.789304,-0.049027,0.00795,-33.946491,33.926601,-1.093418,0.660165,0.015668,0.010177,30.441839,-7.143913,40.049335,-40.77533,-12.733932,33.512978,3.397541,0.749463,Back
